lr-AdamW,created_at,val_loss,epoch,trn_loss
,2022-03-28 14:46:14.836095,,32.0,0.5763482451438904
0.001,2022-03-28 14:46:14.872091,,,
,2022-03-28 14:48:35.833814,1.050674557685852,33.0,
,2022-03-28 14:48:35.882128,,33.0,0.5663375854492188
0.001,2022-03-28 14:48:35.922820,,,
,2022-03-28 14:50:56.832054,1.057854413986206,34.0,
,2022-03-28 14:50:56.874063,,34.0,0.5697629451751709
0.0001,2022-03-28 14:50:56.911066,,,
,2022-03-28 14:53:16.320017,1.0375241041183472,35.0,
,2022-03-28 14:53:16.506057,,35.0,0.5522435307502747
0.0001,2022-03-28 14:53:16.552068,,,
,2022-03-28 14:55:32.990416,1.0318584442138672,36.0,
,2022-03-28 14:55:33.166150,,36.0,0.5346460342407227
0.0001,2022-03-28 14:55:33.198630,,,
,2022-03-28 14:57:49.314531,1.0222394466400146,37.0,
,2022-03-28 14:57:49.493716,,37.0,0.5333573222160339
